timestamp,symbol,price,size,side,trade_id,venue
1783039627168711000,BTC-USD,61299.3,0.00161547,sell,1049267775,COINBASE
1783039627232995000,BTC-USD,61299.29,0.00012,buy,1049267776,COINBASE
1783039627238323000,BTC-USD,61299.3,0.00015751,sell,1049267777,COINBASE
1783039627304712000,BTC-USD,61299.3,0.00015751,sell,1049267778,COINBASE
1783039627396066000,BTC-USD,61299.29,0.00000014,buy,1049267779,COINBASE
1783039627459528000,BTC-USD,61299.3,0.00015751,sell,1049267780,COINBASE
1783039627509069000,BTC-USD,61299.29,0.00000004,buy,1049267781,COINBASE
1783039627710029000,BTC-USD,61299.3,0.00158574,sell,1049267782,COINBASE
1783039627782851000,BTC-USD,61299.3,0.00088853,sell,1049267783,COINBASE
1783039628149618000,BTC-USD,61299.29,0.00091389,buy,1049267784,COINBASE
1783039628391690000,BTC-USD,61299.29,0.00008306,buy,1049267785,COINBASE
1783039628622435000,BTC-USD,61299.29,0.00000003,buy,1049267786,COINBASE
1783039628623613000,BTC-USD,61299.3,0.00158578,sell,1049267787,COINBASE
1783039628652597000,BTC-USD,61299.3,0.00001615,sell,1049267788,COINBASE
1783039628852030000,BTC-USD,61299.29,0.00000049,buy,1049267789,COINBASE
1783039629202985000,BTC-USD,61299.3,0.0014781,sell,1049267790,COINBASE
1783039629701500000,BTC-USD,61299.29,0.00000002,buy,1049267791,COINBASE
1783039629780898000,BTC-USD,61299.3,0.00007674,sell,1049267792,COINBASE
1783039629956786000,BTC-USD,61299.29,0.00000008,buy,1049267793,COINBASE
1783039630163781000,BTC-USD,61299.29,0.00000014,buy,1049267794,COINBASE
1783039630693327000,BTC-USD,61299.29,0.00003262,buy,1049267795,COINBASE
1783039630821024000,BTC-USD,61299.29,0.00000003,buy,1049267796,COINBASE
1783039631036335000,BTC-USD,61299.29,0.00000004,buy,1049267797,COINBASE
1783039631403183000,BTC-USD,61299.29,0.00000007,buy,1049267798,COINBASE
1783039631433577000,BTC-USD,61299.3,0.0080719,sell,1049267799,COINBASE
1783039631445906000,BTC-USD,61299.3,0.00000326,sell,1049267800,COINBASE
1783039631458403000,BTC-USD,61299.3,0.00000016,sell,1049267801,COINBASE
1783039632116515000,BTC-USD,61299.29,0.00000023,buy,1049267802,COINBASE
1783039632361668000,BTC-USD,61299.3,0.00008077,sell,1049267803,COINBASE
1783039632537932000,BTC-USD,61299.29,0.00000039,buy,1049267804,COINBASE
1783039632573647000,BTC-USD,61299.29,0.00000006,buy,1049267805,COINBASE
1783039633039569000,BTC-USD,61299.3,0.00001615,sell,1049267806,COINBASE
1783039633816170000,BTC-USD,61299.3,0.01465265,sell,1049267807,COINBASE
1783039633816170000,BTC-USD,61299.3,0.00019291,sell,1049267808,COINBASE
1783039633816170000,BTC-USD,61299.3,0.00045065,sell,1049267809,COINBASE
1783039633816170000,BTC-USD,61299.3,0.00121941,sell,1049267810,COINBASE
1783039633816170000,BTC-USD,61299.3,0.0006097,sell,1049267811,COINBASE
1783039633816170000,BTC-USD,61299.3,0.00061053,sell,1049267812,COINBASE
1783039633816170000,BTC-USD,61299.3,0.0003788,sell,1049267813,COINBASE
1783039633816170000,BTC-USD,61299.3,0.00017052,sell,1049267814,COINBASE
1783039633816170000,BTC-USD,61299.3,0.04243891,sell,1049267815,COINBASE
1783039633838439000,BTC-USD,61299.99,0.00000013,buy,1049267816,COINBASE
1783039633855565000,BTC-USD,61300,0.17934018,sell,1049267817,COINBASE
1783039633859548000,BTC-USD,61300,0.10127385,sell,1049267818,COINBASE
1783039633859548000,BTC-USD,61300.07,0.00005098,sell,1049267819,COINBASE
1783039633859548000,BTC-USD,61300.45,0.00005098,sell,1049267820,COINBASE
1783039633859548000,BTC-USD,61300.53,0.00005098,sell,1049267821,COINBASE
1783039633859548000,BTC-USD,61300.83,0.00407825,sell,1049267822,COINBASE
1783039633859548000,BTC-USD,61300.83,0.00407825,sell,1049267823,COINBASE
1783039633872657000,BTC-USD,61301.37,0.000018,sell,1049267824,COINBASE
1783039633872657000,BTC-USD,61301.6,0.0040782,sell,1049267825,COINBASE
1783039633973665000,BTC-USD,61304.75,0.00000027,buy,1049267826,COINBASE
1783039634137045000,BTC-USD,61304.75,0.00000028,buy,1049267827,COINBASE
1783039634316418000,BTC-USD,61304.76,0.000018,sell,1049267828,COINBASE
1783039634316418000,BTC-USD,61305.53,0.00005097,sell,1049267829,COINBASE
1783039634316418000,BTC-USD,61305.91,0.00005097,sell,1049267830,COINBASE
